m,obs,exp,normWidth
1418.0,0.004762900379618096,0.005343169841757067,0.056
1432.0,0.004881214756755485,0.005286615271829128,0.056
1446.0,0.004993811842427095,0.005230060701901191,0.056
1460.0,0.005089454382551221,0.005173355388717549,0.056
1475.0,0.00514487797263567,0.005112562212282126,0.056
1489.0,0.00516906137032407,0.005055821914275733,0.056
1504.0,0.005172284729185174,0.004995028737840311,0.056
1518.0,0.005086319142288509,0.0049382884398339166,0.056
1533.0,0.004906545154357656,0.004877495263398495,0.056
1548.0,0.0046887615133489385,0.004816702086963073,0.056
1564.0,0.004350264189310102,0.004751856032098623,0.056
1579.0,0.00396314241032156,0.0046910628556632,0.056
1595.0,0.003608049530074117,0.004630731917630663,0.056
1610.0,0.0033020550752665494,0.004575514663902678,0.056
1626.0,0.003043099595863836,0.00451661625992616,0.056
1642.0,0.0028742704508272123,0.004466018186333744,0.056
1658.0,0.0027487346432857407,0.004416597626919896,0.056
1675.0,0.0026805890387310155,0.004364088282542682,0.056
1691.0,0.0026601676395079593,0.004323203614134806,0.056
1708.0,0.002684804213519588,0.00428026369688979,0.056
1724.0,0.0027589403091362492,0.004239849657129776,0.056
1741.0,0.0028815411719951504,0.004198924613372104,0.056
1759.0,0.0030631792581458277,0.004155738463652671,0.056
1776.0,0.0033972106122433315,0.0041149515444732065,0.056
1793.0,0.0037581103928291614,0.004088548877029304,0.056
1811.0,0.00425655973847466,0.0040658101791873945,0.056
1829.0,0.0046918996792683475,0.004043071481345485,0.056
1847.0,0.00519139578193676,0.004018860280463917,0.056
1865.0,0.005731442501152947,0.003990760746030178,0.056
1883.0,0.006337453115192631,0.00396266121159644,0.056
1902.0,0.007005778795200015,0.003936281911477695,0.056
1920.0,0.00768213777097036,0.003912442381008121,0.056
1939.0,0.008261774368631947,0.003887278432179127,0.056
1958.0,0.008769940920670896,0.0038640225095675084,0.056
1978.0,0.009151520961072654,0.0038405356417909675,0.056
1997.0,0.009434001381623152,0.0038182231174032537,0.056
2017.0,0.009625235466027457,0.003798168627678918,0.056
2036.0,0.009723655874107891,0.003781718241045699,0.056
2057.0,0.009740652719632365,0.003763536234766878,0.056
2077.0,0.009723680284754083,0.0037479977304605678,0.056
2097.0,0.009685373524040359,0.003734096851794778,0.056
2118.0,0.009617063131074396,0.003719500929195699,0.056
2139.0,0.009535015414804534,0.0037065693255253366,0.056
2160.0,0.009503450843780226,0.003696318932143966,0.056
2181.0,0.009486458041021016,0.003686068538762595,0.056
2202.0,0.009522942861197505,0.0036797914803425365,0.056
2224.0,0.009571473495953282,0.0036877674811397663,0.056
2246.0,0.00961585899017373,0.0036957434819369964,0.056
2268.0,0.009658533678731837,0.0037034593667278973,0.056
2290.0,0.009600958752123495,0.003708871046337841,0.056
2313.0,0.009522295523916332,0.0037145287113846005,0.056
2335.0,0.009295022938420088,0.0037199403909945437,0.056
2358.0,0.009027074911478477,0.003726111983139815,0.056
2382.0,0.008650971291497469,0.0037325850642448864,0.056
2405.0,0.008281025369946486,0.003738788433637246,0.056
2429.0,0.0079058042915519,0.0037512639484393443,0.056
2453.0,0.007580804678767755,0.0037649791670793164,0.056
2477.0,0.007217947657041291,0.0037786943857192885,0.056
